Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Rap1 signaling pathway	14/210	2.7230534932749672e-08	5.609490196146432e-06	0	0	7.528417818740399	131.13695954795182	PRKCG;PDGFRB;PRKCI;HGF;RASGRP2;ACTG1;EFNA1;AFDN;PARD6A;FGF19;PFN4;PLCG1;FGF23;FGFR1
KEGG_2021_Human	Ras signaling pathway	13/232	6.41651286940676e-07	6.609008255488963e-05	0	0	6.215735110980881	88.63153967755858	PRKCG;PDGFRB;HGF;RASGRP2;ELK1;RASGRP4;EFNA1;AFDN;FGF19;PLCG2;PLCG1;FGF23;FGFR1
KEGG_2021_Human	MAPK signaling pathway	14/294	1.6531239953167918e-06	0.00011351451434508638	0	0	5.247311827956989	69.85664236632398	PRKCG;PDGFRB;HGF;RASGRP2;ELK1;AREG;RASGRP4;EFNA1;RPS6KA6;MECOM;FGF19;MKNK2;FGF23;FGFR1
KEGG_2021_Human	Proteoglycans in cancer	11/205	7.197799183670231e-06	0.00037068665795901687	0	0	5.881906943762614	69.6519847790759	PRKCG;PPP1CC;DDX5;HGF;PLCG2;TIMP3;PLCG1;ELK1;MMP9;FGFR1;ACTG1
KEGG_2021_Human	Amyotrophic lateral sclerosis	14/364	1.897911763798257e-05	0.000670467367318337	0	0	4.182795698924731	45.47607116299039	NDUFB10;DCTN2;COX5B;COX7A1;TUBA4A;ACTG1;FIG4;PSMC5;TUBB2A;NRG4;PSMC1;NDUFAB1;PFN4;NDUFV2
KEGG_2021_Human	Neutrophil extracellular trap formation	10/189	2.131560311311202e-05	0.000670467367318337	0	0	5.769185533666569	62.05377044057348	PRKCG;H3-5;H4C14;H4C12;PLCG2;H2BC1;H3C3;PLCG1;H3C7;ACTG1
KEGG_2021_Human	Thermogenesis	11/232	2.294750359948016e-05	0.000670467367318337	0	0	5.156192391486509	55.080001217693614	RPS6KA6;NDUFB10;NDUFAF5;NDUFAB1;COX5B;NDUFV2;COX7A1;SMARCA4;ATP5ME;FGFR1;ACTG1
KEGG_2021_Human	Pathways in cancer	17/531	2.603756766284804e-05	0.000670467367318337	0	0	3.4855946078118687	36.79383264451391	PRKCG;PDGFRB;HGF;GLI1;RASGRP2;ELK1;MMP9;RASGRP4;KNG1;MECOM;FGF19;PLCG2;E2F2;PLCG1;FGF23;SKP1;FGFR1
KEGG_2021_Human	Parkinson disease	11/249	4.384414772011639e-05	0.0010035438255937	0	0	4.783735716508826	48.00416272585437	PSMC5;TUBB2A;NDUFB10;PSMC1;NDUFAB1;UBE2L6;PLCG1;COX5B;NDUFV2;COX7A1;TUBA4A
KEGG_2021_Human	Huntington disease	12/306	6.272311581217302e-05	0.0012920961857307	0	0	4.234910985670864	40.98030406666992	PSMC5;TUBB2A;NDUFB10;DCTN2;PSMC1;NDUFAB1;POLR2E;COX5B;NDUFV2;COX7A1;TUBA4A;POLR2L
