Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Autophagy	135/137	0.0	0.0	0	0	2681505.0	inf	IRS1;IRS4;IRS2;ZFYVE1;IGF1R;STK11;TBK1;DEPTOR;LAMP1;AKT2;PRKACG;LAMP2;AKT3;AKT1;SUPT20H;PRKACA;MAP3K7;PRKACB;SH3GLB1;ATG3;GABARAPL2;GABARAPL1;MAP2K1;MAP2K2;DAPK1;ATG9B;DAPK2;ATG9A;PRKCD;DAPK3;ATG10;TSC2;TSC1;ATG14;ATG13;PRAP1;ATG12;ERN1;RRAGA;RRAGC;RRAGB;RRAGD;DDIT4;ULK2;ULK1;PRKCQ;RAF1;SQSTM1;MTMR3;PIK3R4;ITPR1;PIK3R3;PIK3R2;PIK3R1;MTMR4;HIF1A;GABARAP;RRAS;ATG101;NRBF2;ATG7;ATG5;UVRAG;EIF2AK3;RAB39B;EIF2AK4;EIF2S1;ATG16L2;ATG16L1;RHEB;ATG2A;BCL2;ATG2B;BCL2L1;MTMR14;WDR41;PTEN;PIK3CD;PIK3CB;HMGB1;RPTOR;CTSL;RB1CC1;MLST8;SNAP29;CTSD;HRAS;RAB8A;CTSB;RUBCN;PDPK1;RRAS2;WIPI1;WIPI2;RAB33B;VAMP8;MRAS;PIK3CA;TRAF6;AKT1S1;ATG4C;ATG4B;ATG4A;PIK3C3;SMCR8;RAB7B;ATG4D;RAB7A;RAB1A;BECN1;PRKAA1;PRKAA2;STX17;BECN2;AMBRA1;TANK;INS;CAMKK2;PPP2CA;PPP2CB;MAPK9;NRAS;MAPK8;TP53INP2;MAPK1;MAPK3;IGBP1;BAD;BNIP3;CFLAR;MTOR;VMP1;RPS6KB1;RPS6KB2;KRAS
KEGG_2021_Human	mTOR signaling pathway	42/154	3.65470597427397e-57	3.4902442054316414e-55	0	0	79.6491935483871	10350.519005846332	PRKAA1;PRKAA2;IRS1;PTEN;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;IGF1R;INS;RPTOR;NRAS;STK11;DEPTOR;AKT2;AKT3;MLST8;AKT1;MAPK1;HRAS;MAPK3;MAP2K1;MAP2K2;PDPK1;TSC2;TSC1;MTOR;RRAGA;RRAGC;PIK3CA;RPS6KB1;RRAGB;RHEB;RRAGD;AKT1S1;RPS6KB2;DDIT4;ULK2;ULK1;KRAS;RAF1
KEGG_2021_Human	Longevity regulating pathway	37/102	1.321041689907532e-55	8.410632092411288e-54	0	0	115.00784929356358	14532.824212226047	PRKAA1;PRKAA2;IRS1;IRS4;PIK3R3;PIK3CD;IRS2;PIK3R2;PIK3R1;PIK3CB;IGF1R;CAMKK2;INS;RPTOR;STK11;NRAS;ATG101;AKT2;PRKACG;RB1CC1;AKT3;AKT1;PRKACA;PRKACB;HRAS;ATG5;TSC2;TSC1;ATG13;MTOR;PIK3CA;RPS6KB1;RHEB;AKT1S1;RPS6KB2;ULK1;KRAS
KEGG_2021_Human	Shigellosis	45/246	9.832390102719457e-53	4.69496627404854e-51	0	0	48.91542288557214	5857.6868443768535	BECN1;BECN2;PIK3R4;ITPR1;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;GABARAP;RPTOR;MAPK9;MAPK8;TBK1;AKT2;AKT3;AKT1;MAPK1;MAP3K7;ATG5;MAPK3;GABARAPL2;GABARAPL1;BNIP3;PRKCD;WIPI1;WIPI2;ATG14;ATG12;MTOR;RRAGA;RRAGC;PIK3CA;RPS6KB1;RRAGB;ATG16L1;TRAF6;RRAGD;AKT1S1;RPS6KB2;BCL2;PRKCQ;PIK3C3;SQSTM1;BCL2L1
KEGG_2021_Human	Insulin signaling pathway	37/137	5.151593607461422e-50	1.9679087580502637e-48	0	0	74.62295918367347	8468.955797997216	PRKAA1;PRKAA2;IRS1;IRS4;PIK3R3;PIK3CD;IRS2;PIK3R2;PIK3R1;PIK3CB;INS;RPTOR;MAPK9;NRAS;MAPK8;AKT2;PRKACG;AKT3;AKT1;MAPK1;PRKACA;PRKACB;HRAS;MAPK3;MAP2K1;MAP2K2;BAD;PDPK1;TSC2;TSC1;MTOR;PIK3CA;RPS6KB1;RHEB;RPS6KB2;KRAS;RAF1
KEGG_2021_Human	FoxO signaling pathway	34/131	3.141828091491477e-45	1.000148609124787e-43	0	0	68.60385832397672	7029.941939399627	PRKAA1;PRKAA2;IRS1;IRS4;PTEN;PIK3R3;PIK3CD;IRS2;PIK3R2;PIK3R1;PIK3CB;GABARAP;IGF1R;INS;MAPK9;STK11;MAPK8;NRAS;AKT2;AKT3;AKT1;MAPK1;HRAS;MAPK3;GABARAPL2;GABARAPL1;MAP2K1;MAP2K2;PDPK1;BNIP3;ATG12;PIK3CA;KRAS;RAF1
KEGG_2021_Human	Alzheimer disease	45/369	2.1246582583184546e-44	5.797281819126068e-43	0	0	30.155864197530864	3032.477718109923	BECN1;IRS1;BECN2;IRS4;PIK3R4;ITPR1;PIK3R3;PIK3CD;IRS2;PIK3R2;PIK3R1;PIK3CB;AMBRA1;INS;MAPK9;NRAS;MAPK8;ATG101;AKT2;RB1CC1;AKT3;AKT1;MAPK1;NRBF2;HRAS;MAPK3;MAP2K1;MAP2K2;BAD;EIF2AK3;WIPI1;WIPI2;ATG14;ATG13;EIF2S1;MTOR;ERN1;PIK3CA;ATG2A;ULK2;ULK1;PIK3C3;KRAS;RAF1;ATG2B
KEGG_2021_Human	AMPK signaling pathway	32/120	5.686267032144623e-43	1.3575962539245288e-41	0	0	69.82171226831422	6791.774750398092	PRKAA1;PRKAA2;IRS1;IRS4;PIK3R3;PIK3CD;IRS2;PIK3R2;PIK3R1;PIK3CB;IGF1R;CAMKK2;INS;RPTOR;PPP2CA;PPP2CB;STK11;AKT2;AKT3;AKT1;MAP3K7;RAB8A;PDPK1;TSC2;TSC1;MTOR;PIK3CA;RPS6KB1;RHEB;AKT1S1;RPS6KB2;ULK1
KEGG_2021_Human	Apoptosis	33/142	4.1595658492059664e-42	8.82752307998155e-41	0	0	58.6389638424177	5587.305961681533	BECN1;BECN2;ITPR1;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;MAPK9;NRAS;MAPK8;CTSL;AKT2;AKT3;AKT1;MAPK1;CTSD;HRAS;CTSB;MAPK3;MAP2K1;MAP2K2;BAD;PDPK1;EIF2AK3;CFLAR;EIF2S1;ERN1;PIK3CA;BCL2;KRAS;RAF1;BCL2L1
KEGG_2021_Human	Pathways of neurodegeneration	46/475	9.361213061479926e-41	1.7879916947426665e-39	0	0	23.41625415782719	2158.262422164692	RAB1A;BECN1;BECN2;WDR41;PIK3R4;ITPR1;AMBRA1;ZFYVE1;TANK;GABARAP;MAPK9;NRAS;MAPK8;TBK1;ATG101;RB1CC1;MAPK1;NRBF2;HRAS;RAB8A;MAPK3;GABARAPL2;GABARAPL1;MAP2K1;MAP2K2;BAD;EIF2AK3;RAB39B;WIPI1;WIPI2;ATG14;ATG13;EIF2S1;MTOR;ERN1;ATG2A;BCL2;ULK2;ULK1;PIK3C3;SMCR8;KRAS;RAF1;SQSTM1;ATG2B;BCL2L1
